full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,salary
Benjamin Johnson,23,2022/2023,Defender,West Ham United,650,304,346,England,12,6,6,0,0,0,0,0,0,0,0,4,3,1,5,2,3,0,0,0.0,0.0,0.0,0.0,0.0,0,0.69,130,54,0,0,0.0,216,201,11,22,1560000
Bernardo Silva,28,2022/2023,Midfielder,Manchester City,1682,842,840,Portugal,23,12,11,3,1,2,5,3,2,0,0,8,4,4,18,9,9,3,0,0.43,0.27,0.16,0.11,0.21,561,0.96,93,73,561,336,0.16,105,31,-1,6,7800000
Bertrand Traoré,27,2022/2023,Forward,Aston Villa,0,0,0,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,2236000
Billy Gilmour,21,2022/2023,Midfielder,Brighton & Hove Albion,159,148,11,Scotland,7,4,3,0,0,0,0,0,0,0,0,1,1,0,4,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0,2.26,40,23,159,0,0.57,-1,-1,-1,11,1040000
Bobby Reid,30,2022/2023,Forward,Fulham,1966,1054,912,Jamaica,24,13,11,4,2,2,1,0,1,0,0,8,3,5,25,16,9,7,0,0.23,0.05,0.18,0.17,0.2,492,1.14,79,82,281,1966,0.32,93,169,-1,2,1950000
Boubacar Kamara,23,2022/2023,Midfielder,Aston Villa,1473,768,705,France,18,10,8,0,0,0,1,1,0,0,0,4,1,3,25,14,11,3,0,0.06,0.06,0.0,0.0,0.0,0,1.53,59,82,491,1473,0.18,274,153,-1,19,7800000
Boubacar Traore,21,2022/2023,Midfielder,Wolverhampton Wanderers,382,217,165,Mali,8,5,3,0,0,0,1,1,0,0,0,1,1,0,7,5,2,2,0,0.24,0.24,0.0,0.0,0.0,0,1.65,55,48,191,382,0.47,252,42,-1,17,2236000
Boubakary Soumaré,23,2022/2023,Midfielder,Leicester City,888,356,532,France,16,7,9,0,0,0,0,0,0,0,0,6,3,3,15,4,11,4,0,0.0,0.0,0.0,0.0,0.0,0,1.52,59,56,222,0,0.41,234,219,-1,17,5150000
Brandon Williams,22,2022/2023,Defender,Manchester United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,3380000
Brenden Aaronson,22,2022/2023,Midfielder,Leeds United,1726,895,831,USA,23,12,11,1,1,0,2,1,1,0,0,5,4,1,35,16,19,2,0,0.16,0.1,0.05,0.1,0.0,1726,1.83,49,75,863,863,0.1,180,127,-1,6,2340000
Brennan Johnson,21,2022/2023,Forward,Nottingham Forest,1977,999,978,Wales,24,12,12,5,4,1,2,0,2,1,1,7,5,2,36,12,24,4,0,0.32,0.09,0.23,0.36,0.09,395,1.64,55,82,494,989,0.18,70,130,-1,1,1560000
Bruno Guimarães Rodriguez Moura,25,2022/2023,Midfielder,Newcastle United,1405,729,676,Brazil,17,9,8,3,2,1,3,1,2,0,0,11,6,5,7,5,2,3,0,0.38,0.19,0.19,0.25,0.13,468,0.45,201,83,468,468,0.19,86,65,-1,4,4160000
Bruno Miguel Borges Fernandes,28,2022/2023,Midfielder,Manchester United,2070,1080,990,Portugal,23,12,11,5,3,2,6,4,2,1,0,10,6,4,23,8,15,5,0,0.48,0.26,0.22,0.25,0.18,414,1.0,90,90,414,345,0.22,74,35,-1,2,12480000
Bryan Mbeumo,23,2022/2023,Forward,Brentford,1768,977,791,Cameroon,23,12,11,5,4,1,3,3,0,1,0,8,5,3,26,11,15,4,0,0.41,0.15,0.25,0.37,0.11,354,1.32,68,77,442,589,0.2,62,85,-1,2,4160000
Bukayo Saka,21,2022/2023,Midfielder,Arsenal,2161,1001,1160,England,25,12,13,10,6,4,9,5,4,2,0,11,3,8,23,14,9,5,0,0.79,0.37,0.42,0.54,0.31,216,0.96,94,86,432,240,0.21,28,14,-1,2,1560000
