full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,salary
Aaron Cresswell,32,2016/2017,Defender,West Ham United,2117,940,1177,England,26,12,14,0,0,0,2,0,2,0,0,7,5,2,33,17,16,4,1,0.09,0.09,0.0,0.0,0.0,0,1.4,64,81,529,1059,0.17,293,160,95,26,2600000
Aaron Lennon,35,2016/2017,Midfielder,Everton,509,302,207,England,11,6,5,0,0,0,1,0,1,0,0,4,2,2,4,2,2,0,0,0.18,0.18,0.0,0.0,0.0,0,0.71,127,46,0,509,0.0,330,70,-1,25,2600000
Aaron Ramsey,31,2016/2017,Midfielder,Arsenal,1229,518,711,Wales,23,12,11,1,1,0,4,0,4,0,0,8,6,2,19,6,13,3,0,0.37,0.29,0.07,0.17,0.0,1229,1.39,65,53,410,307,0.22,187,21,-1,13,5720000
Abdoulaye Doucouré,29,2016/2017,Midfielder,Watford,1358,707,651,France,20,11,9,1,1,0,0,0,0,0,0,4,4,0,31,13,18,4,0,0.07,0.0,0.07,0.13,0.0,1358,2.05,44,68,340,0,0.27,186,393,-1,12,1040000
Adam David Lallana,34,2016/2017,Midfielder,Liverpool,2349,1149,1200,England,31,15,16,8,5,3,7,5,2,0,0,9,5,4,31,11,20,3,0,0.57,0.27,0.31,0.39,0.23,294,1.19,76,76,783,336,0.11,51,29,-1,4,3042000
Adam Smith,31,2016/2017,Defender,AFC Bournemouth,3099,1642,1457,England,36,19,17,1,1,0,5,5,0,0,0,9,6,3,55,27,28,6,0,0.17,0.15,0.03,0.05,0.0,3099,1.6,56,86,517,620,0.17,258,96,132,10,1124500
Ademola Lookman,24,2016/2017,Forward,Everton,287,131,156,England,8,4,4,1,1,0,0,0,0,0,0,5,2,3,2,2,0,0,0,0.31,0.0,0.31,0.69,0.0,287,0.63,144,36,0,0,0.0,52,261,-1,13,1076400
Adnan Januzaj,27,2016/2017,Midfielder,Sunderland,1630,901,729,Belgium,25,12,13,0,0,0,3,0,3,0,0,3,2,1,36,21,15,5,1,0.17,0.17,0.0,0.0,0.0,0,1.99,45,65,326,543,0.28,418,83,-1,23,2496000
Adrian Mariappa,35,2016/2017,Defender,Watford,561,201,360,Jamaica,7,3,4,0,0,0,0,0,0,0,0,2,2,0,12,1,11,0,0,0.0,0.0,0.0,0.0,0.0,0,1.93,47,80,0,0,0.0,299,274,156,17,364000
Ahmed Musa,29,2016/2017,Forward,Leicester City,753,317,436,Nigeria,21,8,13,2,1,1,0,0,0,0,0,2,1,1,18,8,10,1,0,0.24,0.0,0.24,0.28,0.21,377,2.15,42,36,753,0,0.12,77,352,-1,9,3380000
Alberto Moreno,30,2016/2017,Defender,Liverpool,295,27,268,Spain,12,5,7,0,0,0,1,0,1,0,0,3,2,1,7,0,7,1,0,0.31,0.31,0.0,0.0,0.0,0,2.14,42,25,295,295,0.31,384,18,164,21,2080000
Aleix García,25,2016/2017,Midfielder,Manchester City,75,19,56,Spain,4,2,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.2,75,19,0,0,0.0,-1,-1,-1,23,260000
Aleksandar Kolarov,36,2016/2017,Defender,Manchester City,2533,1291,1242,Serbia,29,15,14,1,0,1,1,0,1,0,0,9,4,5,25,11,14,6,0,0.07,0.04,0.04,0.0,0.07,2533,0.89,101,87,422,2533,0.21,239,227,31,15,3588000
Alex Iwobi,26,2016/2017,Forward,Arsenal,1462,814,648,Nigeria,26,15,11,3,3,0,3,1,2,0,0,8,6,2,19,8,11,1,0,0.37,0.18,0.18,0.33,0.0,487,1.17,77,56,1462,487,0.06,101,72,-1,5,1560000
Alex Oxlade-Chamberlain,29,2016/2017,Midfielder,Arsenal,1562,538,1024,England,29,12,17,2,1,1,7,4,3,0,0,9,5,4,21,4,17,1,0,0.52,0.4,0.12,0.17,0.09,781,1.21,74,54,1562,223,0.06,147,11,-1,6,3380000
Alexis Sanchez,33,2016/2017,Forward,Arsenal,3223,1595,1628,Chile,38,19,19,24,9,15,10,5,5,2,1,13,9,4,39,14,25,6,0,0.95,0.28,0.67,0.51,0.83,134,1.09,83,85,537,322,0.17,7,24,-1,1,7280000
Alfie Mawson,28,2016/2017,Defender,Swansea City,2430,1260,1170,England,27,14,13,4,2,2,0,0,0,0,0,7,6,1,41,18,23,1,0,0.15,0.0,0.15,0.14,0.15,608,1.52,59,90,2430,0,0.04,123,264,117,4,1300000
Allan Nyom,34,2016/2017,Defender,West Bromwich Albion,2638,1293,1345,Cameroon,32,16,16,0,0,0,2,1,1,0,0,4,3,1,38,14,24,8,0,0.07,0.07,0.0,0.0,0.0,0,1.3,69,82,330,1319,0.27,313,191,76,15,1820000
Álvaro Negredo Sánchez,37,2016/2017,Forward,Middlesbrough,2880,1571,1309,Spain,36,19,17,9,6,3,4,1,3,2,0,11,7,4,42,20,22,5,0,0.41,0.13,0.28,0.34,0.21,320,1.31,69,80,576,720,0.16,60,109,-1,1,7280000
Ander Herrera,33,2016/2017,Midfielder,Manchester United,2465,1278,1187,Spain,31,16,15,1,1,0,6,3,3,0,0,14,6,8,18,8,10,7,1,0.26,0.22,0.04,0.07,0.0,2465,0.66,137,80,352,411,0.26,232,50,-1,8,5980000
Andre Ayew,32,2016/2017,Forward,West Ham United,1440,609,831,Ghana,25,11,14,6,1,5,3,2,1,0,0,6,5,1,23,11,12,1,0,0.56,0.19,0.38,0.15,0.54,240,1.44,63,58,1440,480,0.06,37,63,-1,5,4160000
Andre Gray,31,2016/2017,Forward,Burnley,2267,1035,1232,England,32,14,18,9,5,4,3,3,0,2,0,9,5,4,29,7,22,2,0,0.48,0.12,0.36,0.43,0.29,252,1.15,78,71,1134,756,0.08,41,130,-1,2,1300000
Andrew Surman,36,2016/2017,Midfielder,AFC Bournemouth,1803,747,1056,England,22,9,13,0,0,0,1,1,0,0,0,5,3,2,34,11,23,3,1,0.05,0.05,0.0,0.0,0.0,0,1.7,53,82,601,1803,0.15,411,212,-1,25,1820000
Andros Townsend,31,2016/2017,Midfielder,Crystal Palace,2528,1229,1299,England,36,18,18,3,2,1,4,1,3,0,0,7,5,2,35,11,24,4,0,0.25,0.14,0.11,0.15,0.07,843,1.25,72,70,632,632,0.14,153,101,-1,7,2860000
Andy Carroll,33,2016/2017,Forward,West Ham United,1314,560,754,England,18,8,10,7,2,5,1,1,0,0,0,3,3,0,25,13,12,3,0,0.55,0.07,0.48,0.32,0.6,188,1.71,53,73,438,1314,0.21,22,180,-1,4,4680000
Andy King,33,2016/2017,Midfielder,Leicester City,1443,634,809,Wales,23,11,12,1,1,0,0,0,0,0,0,6,4,2,25,9,16,4,0,0.06,0.0,0.06,0.14,0.0,1443,1.56,58,63,361,0,0.25,211,351,-1,10,2080000
Angel Gomes,22,2016/2017,Midfielder,Manchester United,2,2,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,0.0,-1,-1,-1,30,1300000
Angelo Ogbonna,34,2016/2017,Defender,West Ham United,1756,766,990,Italy,20,9,11,0,0,0,0,0,0,0,0,5,4,1,28,11,17,2,0,0.0,0.0,0.0,0.0,0.0,0,1.44,63,88,878,0,0.1,393,392,102,18,3120000
Anthony Martial,26,2016/2017,Forward,Manchester United,1559,816,743,France,25,13,12,4,3,1,6,1,5,0,0,10,5,5,12,5,7,2,0,0.58,0.35,0.23,0.33,0.12,390,0.69,130,62,780,260,0.12,79,14,-1,7,5720000
Antonio Valencia,37,2016/2017,Defender,Manchester United,2483,1431,1052,Ecuador,28,16,12,1,0,1,3,2,1,0,0,12,6,6,19,10,9,5,0,0.14,0.11,0.04,0.0,0.09,2483,0.69,131,89,497,828,0.18,234,133,15,10,4420000
Arthur Masuaku,28,2016/2017,Defender,West Ham United,972,467,505,France,13,6,7,0,0,0,1,0,1,0,0,4,3,1,22,9,13,1,0,0.09,0.09,0.0,0.0,0.0,0,2.04,44,75,972,972,0.09,390,154,160,19,2080000
Ashley Barnes,32,2016/2017,Forward,Burnley,1777,727,1050,England,28,13,15,6,2,4,2,2,0,2,0,8,4,4,25,8,17,8,1,0.41,0.1,0.3,0.25,0.34,296,1.27,71,63,222,889,0.41,54,141,-1,3,1300000
Ashley Fletcher,26,2016/2017,Forward,West Ham United,353,220,133,England,16,11,5,0,0,0,0,0,0,0,0,5,5,0,11,9,2,2,0,0.0,0.0,0.0,0.0,0.0,0,2.8,32,22,177,0,0.51,275,252,-1,20,208000
Ashley Westwood,32,2016/2017,Midfielder,Burnley,550,258,292,England,9,3,6,0,0,0,0,0,0,0,0,1,0,1,8,5,3,3,0,0.0,0.0,0.0,0.0,0.0,0,1.31,69,61,183,0,0.49,265,293,-1,17,1612000
Ashley Williams,38,2016/2017,Defender,Everton,3159,1530,1629,Wales,36,17,19,1,1,0,3,1,2,0,0,13,8,5,34,11,23,8,1,0.11,0.09,0.03,0.06,0.0,3159,0.97,93,88,351,1053,0.26,255,157,40,14,3640000
Ashley Young,37,2016/2017,Midfielder,Manchester United,757,338,419,England,12,5,7,0,0,0,1,0,1,0,0,6,2,4,5,2,3,2,0,0.12,0.12,0.0,0.0,0.0,0,0.59,151,63,379,757,0.24,394,122,-1,24,6240000
Axel Tuanzebe,24,2016/2017,Defender,Manchester United,305,90,215,England,4,1,3,0,0,0,0,0,0,0,0,2,1,1,4,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0,1.18,76,76,0,0,0.0,262,251,61,20,260000
Bakary Sako,34,2016/2017,Midfielder,Crystal Palace,135,54,81,Mali,7,4,3,0,0,0,0,0,0,0,0,2,2,0,3,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,2.0,45,19,0,0,0.0,-1,-1,-1,18,2860000
Bartosz Kapustka,25,2016/2017,Midfielder,Leicester City,0,0,0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,1560000
Ben Chilwell,25,2016/2017,Defender,Leicester City,694,453,241,England,12,7,5,1,1,0,0,0,0,0,0,2,2,0,16,10,6,2,0,0.13,0.0,0.13,0.2,0.0,694,2.07,43,58,347,0,0.26,139,354,162,16,3380000
Ben Davies,29,2016/2017,Defender,Tottenham Hotspur,1735,772,963,Wales,23,11,12,1,0,1,3,2,1,0,0,11,7,4,11,3,8,1,0,0.21,0.16,0.05,0.0,0.09,1735,0.57,158,75,1735,578,0.05,220,88,7,12,312000
Ben Mee,32,2016/2017,Defender,Burnley,3016,1486,1530,England,34,17,17,1,0,1,0,0,0,0,0,9,6,3,44,13,31,5,0,0.03,0.0,0.03,0.0,0.06,3016,1.31,69,89,603,0,0.15,242,322,78,8,1456000
Benik Afobe,29,2016/2017,Forward,AFC Bournemouth,1451,651,800,Congo DR,31,15,16,6,3,3,3,3,0,0,1,9,5,4,21,9,12,1,0,0.56,0.19,0.37,0.41,0.34,242,1.3,69,47,1451,484,0.06,40,66,-1,4,1263600
Benjamin Woodburn,22,2016/2017,Forward,Liverpool,83,30,53,Wales,5,2,3,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.08,83,17,0,0,0.0,-1,-1,-1,23,5200
Billy Jones,35,2016/2017,Defender,Sunderland,2271,957,1314,England,27,11,16,1,0,1,0,0,0,0,0,5,3,2,44,18,26,8,0,0.04,0.0,0.04,0.0,0.07,2271,1.74,52,84,284,0,0.32,230,278,149,5,3900000
Bojan,32,2016/2017,Forward,Stoke City,475,269,206,Spain,9,4,5,3,2,1,0,0,0,2,1,0,0,0,11,6,5,1,0,0.57,0.0,0.57,0.67,0.44,158,2.08,43,53,475,0,0.19,12,364,-1,6,2496000
Borja Bastón,30,2016/2017,Forward,Swansea City,548,355,193,Spain,18,8,10,1,0,1,0,0,0,0,0,3,3,0,9,7,2,0,0,0.16,0.0,0.16,0.0,0.47,548,1.48,61,30,0,0,0.0,119,282,-1,8,2340000
Brad Smith,28,2016/2017,Defender,AFC Bournemouth,270,68,202,Australia,5,2,3,0,0,0,0,0,0,0,0,0,0,0,7,1,6,1,0,0.0,0.0,0.0,0.0,0.0,0,2.33,39,54,270,0,0.33,-1,-1,-1,20,1300000
Brandon Mason,24,2016/2017,Defender,Watford,112,112,0,England,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4.02,22,56,0,0,0.0,-1,-1,-1,21,1300000
Branislav Ivanović,38,2016/2017,Defender,Chelsea,582,298,284,Serbia,13,6,7,0,0,0,0,0,0,0,0,6,2,4,9,3,6,2,0,0.0,0.0,0.0,0.0,0.0,0,1.39,65,45,291,0,0.31,386,386,93,19,7480000
Bruno Martins Indi,30,2016/2017,Defender,Stoke City,3147,1617,1530,Netherlands,35,18,17,1,0,1,0,0,0,0,0,11,7,4,48,18,30,5,0,0.03,0.0,0.03,0.0,0.06,3147,1.37,66,90,629,0,0.14,254,301,91,8,884000
Callum Wilson,30,2016/2017,Forward,AFC Bournemouth,1366,800,566,England,20,11,9,6,4,2,0,0,0,3,0,5,4,1,24,13,11,0,0,0.4,0.0,0.4,0.45,0.32,228,1.58,57,68,0,0,0.0,34,397,-1,3,1560000
Calum Chambers,27,2016/2017,Defender,Middlesbrough,2250,1260,990,England,25,14,11,2,2,0,1,1,0,0,0,7,6,1,35,17,18,4,0,0.12,0.04,0.08,0.14,0.0,1125,1.4,64,90,563,2250,0.16,181,218,94,5,2340000
Cameron Carter-Vickers,24,2016/2017,Defender,Tottenham Hotspur,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,832000
Carl Jenkinson,30,2016/2017,Defender,Arsenal,83,0,83,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,1.08,83,83,0,0,0.0,-1,-1,-1,16,2340000
Carl Stewart,25,2016/2017,Midfielder,Watford,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,832000
Cedric Soares,31,2016/2017,Defender,Southampton,2520,1318,1202,Portugal,30,15,15,0,0,0,3,2,1,0,0,12,7,5,34,16,18,7,0,0.11,0.11,0.0,0.0,0.0,0,1.21,74,84,360,840,0.25,361,138,62,24,3380000
Cesar Azpilicueta,33,2016/2017,Defender,Chelsea,3420,1710,1710,Spain,38,19,19,1,1,0,4,2,2,0,0,16,8,8,30,15,15,4,0,0.13,0.11,0.03,0.05,0.0,3420,0.79,114,90,855,855,0.11,245,132,24,13,5200000
Charlie Adam,36,2016/2017,Midfielder,Stoke City,1495,848,647,Scotland,24,15,9,1,0,1,3,2,1,1,0,7,6,1,22,7,15,7,0,0.24,0.18,0.06,0.0,0.14,1495,1.32,68,62,214,498,0.42,206,75,-1,10,1820000
Charlie Austin,33,2016/2017,Forward,Southampton,939,507,432,England,15,8,7,6,4,2,1,0,1,2,0,5,3,2,8,3,5,1,0,0.67,0.1,0.58,0.71,0.42,157,0.77,117,63,939,939,0.1,10,140,-1,2,3640000
Charlie Daniels,35,2016/2017,Defender,AFC Bournemouth,3060,1530,1530,England,34,17,17,4,3,1,3,2,1,0,0,10,6,4,49,23,26,1,0,0.21,0.09,0.12,0.18,0.06,765,1.44,62,90,3060,1020,0.03,148,152,104,5,1300000
Cheikhou Kouyaté,32,2016/2017,Midfielder,West Ham United,2728,1331,1397,Senegal,31,15,16,1,1,0,0,0,0,0,0,9,7,2,41,16,25,3,0,0.03,0.0,0.03,0.07,0.0,2728,1.35,67,88,909,0,0.1,250,390,-1,14,1560000
Chris Brunt,37,2016/2017,Midfielder,West Bromwich Albion,2477,1290,1187,Northern Ireland,31,16,15,3,3,0,4,3,1,0,0,4,3,1,36,16,20,5,0,0.25,0.15,0.11,0.21,0.0,826,1.31,69,80,495,619,0.18,161,89,-1,8,2340000
Chris Smalling,32,2016/2017,Defender,Manchester United,1213,378,835,England,18,6,12,1,1,0,1,0,1,0,0,9,3,6,15,3,12,0,0,0.15,0.07,0.07,0.24,0.0,1213,1.11,81,67,0,1213,0.0,188,175,55,14,3640000
Christian Benteke,31,2016/2017,Forward,Crystal Palace,3138,1539,1599,Belgium,36,18,18,15,4,11,2,0,2,2,2,7,5,2,53,20,33,10,0,0.49,0.06,0.43,0.23,0.62,209,1.52,59,87,314,1569,0.29,30,195,-1,1,6240000
Christian Eriksen,30,2016/2017,Midfielder,Tottenham Hotspur,3167,1588,1579,Denmark,36,18,18,8,5,3,15,9,6,0,0,16,11,5,23,8,15,0,0,0.65,0.43,0.23,0.28,0.17,396,0.65,138,88,0,211,0.0,78,9,-1,4,3900000
Christian Fuchs,36,2016/2017,Defender,Leicester City,3126,1550,1576,Austria,36,18,18,2,2,0,4,2,2,0,0,9,7,2,55,21,34,10,0,0.17,0.12,0.06,0.12,0.0,1563,1.58,57,87,313,782,0.29,205,118,126,7,2600000
Christian Kabasele,31,2016/2017,Defender,Watford,766,322,444,Belgium,16,8,8,2,0,2,0,0,0,0,0,4,3,1,14,5,9,1,0,0.23,0.0,0.23,0.0,0.41,383,1.64,55,48,766,0,0.12,80,263,139,6,1560000
Chung-Yong Lee,34,2016/2017,Midfielder,Crystal Palace,464,279,185,South Korea,15,7,8,0,0,0,1,0,1,0,0,0,0,0,11,6,5,0,0,0.19,0.19,0.0,0.0,0.0,0,2.13,42,31,0,464,0.0,399,64,-1,29,1300000
Claudio Yacob,35,2016/2017,Midfielder,West Bromwich Albion,2418,1107,1311,Argentina,33,15,18,0,0,0,0,0,0,0,0,5,3,2,36,13,23,9,0,0.0,0.0,0.0,0.0,0.0,0,1.34,67,73,269,0,0.33,404,405,-1,14,3120000
Connor Randall,26,2016/2017,Defender,Liverpool,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,104000
Connor Roberts,26,2016/2017,Midfielder,Swansea City,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,520000
Connor Wickham,29,2016/2017,Forward,Crystal Palace,410,220,190,England,8,4,4,2,1,1,0,0,0,0,0,0,0,0,5,3,2,1,0,0.44,0.0,0.44,0.41,0.47,205,1.1,82,51,410,0,0.22,27,400,-1,10,3120000
Craig Cathcart,33,2016/2017,Defender,Watford,1162,578,584,Northern Ireland,15,7,8,0,0,0,1,1,0,0,0,2,2,0,21,9,12,3,0,0.08,0.08,0.0,0.0,0.0,0,1.63,55,77,387,1162,0.23,338,168,134,30,676000
Craig Dawson,32,2016/2017,Defender,West Bromwich Albion,3278,1568,1710,England,37,18,19,4,3,1,0,0,0,0,0,6,4,2,49,20,29,10,0,0.11,0.0,0.11,0.17,0.05,820,1.35,67,89,328,0,0.27,152,404,88,6,1560000
Curtis Davies,37,2016/2017,Defender,Hull City,2139,1082,1057,England,26,13,13,0,0,0,2,1,1,0,0,1,0,1,49,22,27,4,0,0.08,0.08,0.0,0.0,0.0,0,2.06,44,82,535,1070,0.17,396,169,161,22,312000
Dael Fry,25,2016/2017,Midfielder,Middlesbrough,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,1040000
Daley Blind,32,2016/2017,Defender,Manchester United,1829,946,883,Netherlands,23,12,11,1,1,0,2,2,0,0,0,10,4,6,16,7,9,2,0,0.15,0.1,0.05,0.1,0.0,1829,0.79,114,80,915,915,0.1,217,144,25,12,3900000
Damien Delaney,41,2016/2017,Defender,Crystal Palace,2007,942,1065,Republic of Ireland,30,15,15,0,0,0,2,1,1,0,0,5,4,1,36,16,20,8,0,0.09,0.09,0.0,0.0,0.0,0,1.61,56,67,251,1004,0.36,367,155,133,26,1300000
Dan Gosling,32,2016/2017,Midfielder,AFC Bournemouth,1357,630,727,England,27,12,15,2,2,0,0,0,0,0,0,9,6,3,20,10,10,6,0,0.13,0.0,0.13,0.29,0.0,679,1.33,68,50,226,0,0.4,141,384,-1,9,1040000
Daniel Agyei,25,2016/2017,Forward,Burnley,22,15,7,England,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,7,0,0,0.0,-1,-1,-1,26,36400
Daniel Amartey,27,2016/2017,Midfielder,Leicester City,1666,792,874,Ghana,24,12,12,1,0,1,1,0,1,0,0,5,4,1,32,10,22,3,0,0.11,0.05,0.05,0.0,0.1,1666,1.73,52,69,555,1666,0.16,214,213,-1,14,1092000
Daniel James,24,2016/2017,Midfielder,Swansea City,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,7280000
Daniel Sturridge,33,2016/2017,Forward,Liverpool,769,332,437,England,20,8,12,3,1,2,1,1,0,0,0,8,3,5,7,3,4,1,0,0.47,0.12,0.35,0.27,0.41,256,0.82,110,38,769,769,0.12,42,123,-1,9,6760000
Danny Drinkwater,32,2016/2017,Midfielder,Leicester City,2466,1270,1196,England,29,15,14,1,1,0,1,1,0,0,0,8,7,1,43,13,30,6,0,0.07,0.04,0.04,0.07,0.0,2466,1.57,57,85,411,2466,0.22,233,223,-1,11,4680000
Danny Rose,32,2016/2017,Defender,Tottenham Hotspur,1533,887,646,England,18,10,8,2,2,0,2,1,1,0,0,8,6,2,11,5,6,8,0,0.23,0.12,0.12,0.2,0.0,767,0.65,139,85,192,767,0.47,143,121,11,7,3120000
Danny Simpson,35,2016/2017,Defender,Leicester City,2990,1633,1357,England,35,19,16,0,0,0,2,2,0,0,0,9,7,2,47,19,28,12,0,0.06,0.06,0.0,0.0,0.0,0,1.41,64,85,249,1495,0.36,344,194,96,22,2340000
Danny Welbeck,31,2016/2017,Forward,Arsenal,746,379,367,England,16,8,8,2,1,1,2,2,0,0,0,7,5,2,10,3,7,0,0,0.48,0.24,0.24,0.24,0.25,373,1.21,75,47,0,373,0.0,75,43,-1,11,6500000
Darren Fletcher,38,2016/2017,Midfielder,West Bromwich Albion,3196,1530,1666,Scotland,38,19,19,2,2,0,3,1,2,0,0,6,4,2,45,18,27,0,0,0.14,0.08,0.06,0.12,0.0,1598,1.27,71,84,0,1065,0.0,209,172,-1,9,208000
Daryl Janmaat,33,2016/2017,Defender,Watford,1614,687,927,Netherlands,27,14,13,2,0,2,1,1,0,0,0,4,4,0,31,7,24,2,0,0.17,0.06,0.11,0.0,0.19,807,1.73,52,60,807,1614,0.11,160,193,148,8,2340000
David Jones,37,2016/2017,Midfielder,Burnley,87,87,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,1.03,87,87,87,0,1.03,-1,-1,-1,24,3900000
David Luiz,35,2016/2017,Defender,Chelsea,2956,1434,1522,Brazil,33,16,17,1,0,1,0,0,0,0,0,15,7,8,23,11,12,6,0,0.03,0.0,0.03,0.0,0.06,2956,0.7,129,90,493,0,0.18,259,288,17,15,6240000
David Silva,36,2016/2017,Midfielder,Manchester City,2767,1334,1433,Spain,34,17,17,4,3,1,7,3,4,0,0,10,3,7,29,12,17,6,0,0.36,0.23,0.13,0.2,0.06,692,0.94,95,81,461,395,0.2,140,46,-1,8,8320000
Dean Marney,38,2016/2017,Midfielder,Burnley,1770,998,772,England,21,12,9,1,1,0,2,2,0,0,0,5,4,1,25,7,18,7,0,0.15,0.1,0.05,0.09,0.0,1770,1.27,71,84,253,885,0.36,215,143,-1,10,1144000
Dejan Lovren,33,2016/2017,Defender,Liverpool,2555,1115,1440,Croatia,29,13,16,2,0,2,1,0,1,0,0,11,5,6,30,13,17,6,0,0.11,0.04,0.07,0.0,0.13,1278,1.06,85,88,426,2555,0.21,193,219,47,10,3380000
Dele Alli,26,2016/2017,Midfielder,Tottenham Hotspur,3045,1506,1539,England,37,19,18,18,9,9,7,2,5,1,0,17,12,5,21,6,15,4,0,0.74,0.21,0.53,0.54,0.53,169,0.62,145,82,761,435,0.12,15,54,-1,2,2860000
Demarai Gray,26,2016/2017,Midfielder,Leicester City,1035,517,518,England,30,17,13,1,0,1,3,0,3,0,0,7,6,1,18,6,12,2,0,0.35,0.26,0.09,0.0,0.17,1035,1.57,58,35,518,345,0.17,168,33,-1,12,1300000
Diafra Sakho,32,2016/2017,Forward,West Ham United,181,28,153,Senegal,4,1,3,1,0,1,0,0,0,0,0,1,1,0,4,0,4,0,0,0.5,0.0,0.5,0.0,0.59,181,1.99,45,45,0,0,0.0,-1,-1,-1,13,1560000
Didier Ndong Ibrahim,28,2016/2017,Midfielder,Sunderland,2519,1293,1226,Gabon,31,16,15,1,0,1,0,0,0,0,0,6,4,2,43,23,20,5,0,0.04,0.0,0.04,0.0,0.07,2519,1.54,59,81,504,0,0.18,236,268,-1,7,11440000
Diego Da Silva Costa,33,2016/2017,Forward,Chelsea,3090,1477,1613,Spain,35,17,18,20,11,9,7,5,2,0,1,14,7,7,27,12,15,10,0,0.79,0.2,0.58,0.67,0.5,155,0.79,114,88,309,441,0.29,11,60,-1,1,9620000
Dion Pereira,23,2016/2017,Midfielder,Watford,23,16,7,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,12,0,0,0.0,-1,-1,-1,31,260000
Divock Origi,27,2016/2017,Forward,Liverpool,1457,646,811,Belgium,34,15,19,7,4,3,3,2,1,0,0,11,5,6,17,9,8,0,0,0.62,0.19,0.43,0.56,0.33,208,1.05,86,43,0,486,0.0,29,65,-1,5,1456000
Domingos Quina,22,2016/2017,Midfielder,West Ham United,0,0,0,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,416000
Dominic Calvert-Lewin,25,2016/2017,Forward,Everton,346,174,172,England,11,6,5,1,1,0,0,0,0,0,0,4,3,1,5,1,4,1,0,0.26,0.0,0.26,0.52,0.0,346,1.3,69,31,346,0,0.26,67,299,-1,12,130000
Dominic Solanke,24,2016/2017,Forward,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,-1,-1,-1,-1,364000
Dušan Tadić,33,2016/2017,Midfielder,Southampton,2427,1219,1208,Serbia,33,16,17,3,1,2,5,1,4,1,1,12,6,6,29,14,15,4,0,0.3,0.19,0.11,0.07,0.15,809,1.08,84,74,607,485,0.15,154,61,-1,6,3120000
